jop name,laocation,company name,experience,experience year,skills
Financial Data Analyst,"6th of October, Giza, Egypt ",Zewail City,Experienced,2 - 3 Yrs of Exp,"[' ∑ Accounting/Finance', ' ∑ Analyst/Research', '', ' ∑ Accounting', ' ∑ Analysis', ' ∑ business', ' ∑ Economics', 'Data', ' ∑ Finance', ' ∑ Financial', ' ∑ Financial Analysis']"
IT Specialist,"Nasr City, Cairo, Egypt ",Rockal,Entry Level,0 - 2 Yrs of Exp,"['∑ males_preferred', ' ∑ Installation/Maintenance/Repair', ' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Technical Support', ' ∑ Computer Engineering', ' ∑ Network Administration', ' ∑ Installation', ' ∑ Networking']"
iOS Mobile Developer,"Mansoura, Dakahlia, Egypt ",qTech.,Experienced,2+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Software Development', ' ∑ Objective-C', ' ∑ Java', ' ∑ OpenGL', ' ∑ Mobile Development', 'Computer Science', ' ∑ Computer Engineering', ' ∑ Software Engineering']"
Paid Search Consultant - Dubai,"Dubai, United Arab Emirates ",Online Marketing Gurus,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Media/Journalism/Publishing', ' ∑ Marketing', ' ∑ Advertising', ' ∑ Media', ' ∑ SEM', ' ∑ SEO', ' ∑ Social Media', ' ∑ Digital Marketing']"
Science Tutor - Preparatory (Arabic - English Freelance),"Nasr City, Cairo, Egypt ",Nagwa,Experienced,2+ Yrs of Exp,"[' ∑ Education/Teaching', ' ∑ Teaching', ' ∑ Tutoring', ' ∑ Online Education', ' ∑ Education', 'Science', ' ∑ Tutor']"
Science Tutor - Primary (Arabic - English Freelance),"Nasr City, Cairo, Egypt ",Nagwa,Experienced,2+ Yrs of Exp,"[' ∑ Education/Teaching', ' ∑ Teaching', ' ∑ Tutoring', ' ∑ Online Education', ' ∑ Education', 'Science', ' ∑ Tutor']"
Analyst (Resource Management) ñ IT PMO & Partnerships,"Dubai, United Arab Emirates ",flydubai,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Analysis', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Microsoft Office']"
Analyst,"Riyadh, Saudi Arabia ",Mercer,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Analysis', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Microsoft Office']"
Senior Analyst - Insurance Operations,"Cairo, Egypt ",Mercer LLC,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Financial Analysis']"
Analyst - Ancillary Business Application,"Doha, Qatar ",Sidra Medical and Research Center,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Analysis', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Microsoft Office']"
Senior Analyst (Vendor Management) ñ IT PMO & Partnerships,"Dubai, United Arab Emirates ",flydubai,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Financial Analysis']"
